r_hist_0,r_hist_1,r_hist_2,r_hist_3,r_hist_4,r_hist_5,r_hist_6,r_hist_7,r_hist_8,r_hist_9,r_hist_10,r_hist_11,r_hist_12,r_hist_13,r_hist_14,r_hist_15,g_hist_0,g_hist_1,g_hist_2,g_hist_3,g_hist_4,g_hist_5,g_hist_6,g_hist_7,g_hist_8,g_hist_9,g_hist_10,g_hist_11,g_hist_12,g_hist_13,g_hist_14,g_hist_15,b_hist_0,b_hist_1,b_hist_2,b_hist_3,b_hist_4,b_hist_5,b_hist_6,b_hist_7,b_hist_8,b_hist_9,b_hist_10,b_hist_11,b_hist_12,b_hist_13,b_hist_14,b_hist_15,haralick_contrast,haralick_dissimilarity,haralick_homogeneity,haralick_energy,haralick_correlation,hu_moment_0,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,image_path,label,split
9.0,1243.0,3477.0,2442.0,2681.0,3193.0,2470.0,1756.0,1027.0,844.0,923.0,1262.0,1817.0,3147.0,5974.0,16135.0,0.0,1075.0,3485.0,2764.0,3203.0,3568.0,3208.0,1732.0,1371.0,1731.0,2435.0,2923.0,3889.0,5515.0,8580.0,2921.0,5.0,435.0,2638.0,1668.0,1499.0,2361.0,3017.0,3523.0,3517.0,2344.0,1944.0,3050.0,4389.0,6627.0,8107.0,3276.0,23.904856787048566,3.0357409713574097,0.32023818089920486,0.026890983384758718,0.9977506569022334,0.0012844451810883673,5.569401191917562e-09,1.2077641292315511e-12,3.0089421872953842e-12,-3.0867130640153888e-24,-1.8059453282015857e-16,4.8346980702599465e-24,ISIC_0031648_orig.jpg,vasc,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,61.0,359.0,2034.0,7928.0,19937.0,18063.0,1.0,0.0,0.0,0.0,8.0,88.0,1033.0,3653.0,5133.0,4281.0,3847.0,6402.0,17330.0,6624.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,304.0,2107.0,4176.0,4030.0,3629.0,3720.0,4958.0,11255.0,10935.0,3259.0,11.0,0.0,0.0,31.792984640929845,3.543669572436696,0.2885778146221177,0.036671110043585725,0.9770505488195722,0.0011039508488954611,1.196808386135913e-10,7.002971408041557e-14,5.628485576430502e-13,9.69851617385948e-26,6.0052644102301014e-18,5.550537971410154e-26,ISIC_0029238_orig.jpg,mel,0
0.0,0.0,123.0,107.0,63.0,100.0,116.0,89.0,151.0,790.0,3565.0,17244.0,24805.0,1247.0,0.0,0.0,31.0,318.0,151.0,46.0,46.0,60.0,91.0,158.0,1064.0,5851.0,19070.0,20735.0,779.0,0.0,0.0,0.0,0.0,8.0,269.0,76.0,125.0,126.0,99.0,205.0,564.0,2547.0,9829.0,26553.0,7982.0,17.0,0.0,0.0,9.690992112909921,1.5552511415525114,0.485489064636906,0.06656092813999624,0.9863383139115017,0.0009235830329636825,1.3435259376492462e-10,1.7842407424320337e-13,6.313357183752758e-14,-4.537040201991692e-27,-7.316900805844135e-19,4.93092745190242e-27,ISIC_0027210_orig.jpg,vasc,0
0.0,77.0,848.0,559.0,266.0,300.0,358.0,473.0,663.0,2262.0,7197.0,12410.0,18122.0,4865.0,0.0,0.0,0.0,793.0,616.0,272.0,308.0,376.0,500.0,959.0,3164.0,9428.0,15870.0,13867.0,2247.0,0.0,0.0,0.0,0.0,234.0,1018.0,371.0,346.0,412.0,508.0,930.0,2334.0,5390.0,9414.0,14042.0,11729.0,1669.0,3.0,0.0,10.767206309672062,2.302573682025737,0.3775654144253404,0.042587873985844335,0.9945627759146112,0.0009027366389965506,3.525624267556195e-10,1.7079565763520974e-12,5.918704185422743e-14,1.3360009932641146e-26,9.18619804860375e-19,1.3252744990044806e-26,ISIC_0025824_orig.jpg,bcc,0
0.0,0.0,0.0,0.0,1.0,28.0,20.0,41.0,124.0,718.0,10158.0,30346.0,6954.0,10.0,0.0,0.0,0.0,28.0,88.0,178.0,1170.0,8703.0,17298.0,15139.0,5753.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,61.0,176.0,1303.0,10410.0,17877.0,11204.0,6562.0,801.0,0.0,2.0,0.0,0.0,0.0,0.0,14.402905770029061,2.5506434205064346,0.34461524316439646,0.0452465977148097,0.9628174951144137,0.0013447766662339682,1.5751570501985397e-10,9.12852458890638e-13,8.866168832449683e-14,-1.0932440736901745e-26,8.274118023177373e-19,-2.27311150285462e-26,ISIC_0026846_orig.jpg,bkl,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,1104.0,2138.0,2767.0,2311.0,16609.0,22732.0,594.0,0.0,0.0,62.0,1353.0,1589.0,2050.0,1407.0,1093.0,1736.0,9241.0,25954.0,3915.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1586.0,2666.0,1780.0,1059.0,923.0,1224.0,9770.0,26111.0,3277.0,0.0,0.0,0.0,0.0,8.345039435450396,2.146658364466584,0.37382674007705224,0.05616367981845289,0.994555712984333,0.001020802483768097,7.584836471677824e-11,3.970671448295705e-14,2.338881949776664e-12,-1.2684515596863205e-25,-1.2468503920812148e-17,-7.013841476649163e-25,ISIC_0031861_orig.jpg,nv,0
0.0,0.0,0.0,4.0,10.0,7.0,6.0,4.0,5.0,5.0,33.0,4517.0,24451.0,19358.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,11.0,4.0,5.0,227.0,2055.0,8039.0,21098.0,16947.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,7.0,98.0,1414.0,3023.0,6422.0,16251.0,20561.0,603.0,0.0,0.0,9.92887090078871,1.4882316313823163,0.5128943512721843,0.07856368500515142,0.9614191175423923,0.0008733547179765771,4.984411442480826e-11,5.2924115982774964e-14,1.1723427580860828e-14,-1.9260651055307836e-28,-4.414610168888299e-20,2.1949234081458834e-28,ISIC_0029039_orig.jpg,df,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1756.0,6878.0,29412.0,10345.0,6.0,0.0,439.0,1012.0,659.0,305.0,295.0,363.0,776.0,3057.0,27774.0,13704.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1687.0,793.0,526.0,1196.0,6795.0,24448.0,12725.0,215.0,2.0,0.0,0.0,8.766334578663349,2.1716894977168955,0.3693681795488923,0.058873297384063335,0.9893659252093165,0.0009700701599444895,5.921165199276847e-10,6.66067957117848e-13,1.489039246961492e-12,-1.424691397893431e-24,-3.370726886512218e-17,-4.1147769867736086e-25,ISIC_0025677_orig.jpg,vasc,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,616.0,3043.0,3151.0,3330.0,5831.0,22758.0,9633.0,0.0,28.0,1790.0,3604.0,2258.0,1971.0,1781.0,1903.0,11689.0,22518.0,851.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,4046.0,2981.0,2057.0,1484.0,1276.0,1458.0,9215.0,17581.0,7813.0,144.0,0.0,0.0,0.0,13.771295143212951,2.3539435450394355,0.39871212070735973,0.05679814401459355,0.993098121533826,0.0011499734983586645,6.764483720551392e-11,3.69496676266006e-14,1.886234485154565e-12,3.7147932919773725e-25,-6.183857418493899e-19,-3.31620588810733e-25,ISIC_0027730_orig.jpg,nv,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,86.0,710.0,4996.0,13811.0,28615.0,178.0,0.0,0.0,0.0,0.0,0.0,36.0,231.0,647.0,2139.0,4133.0,4988.0,14457.0,21538.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,299.0,852.0,2687.0,4083.0,4419.0,12842.0,19413.0,3698.0,9.0,0.0,0.0,0.0,11.775716064757162,2.4991282689912824,0.3419853662767241,0.052604883860463594,0.9807705025779032,0.0010723643864443927,1.5884007433552038e-12,2.5363963503121817e-14,2.397476768516544e-13,-3.263891050240438e-27,-2.581651063776014e-19,-1.840852258134238e-26,ISIC_0028818_orig.jpg,bcc,0
